date,item,news,result
2024-06-17,제이앤티씨," 강세 토픽  유리기판 테마, 제이앤티씨 +20.84%, 와이씨켐 +7.46% - 조선비즈  유리기판  테마가 강세다. 전일 대비 3.72% 상승세이다. 제이앤티씨 204270  +20.84%, 와이씨켐 112290   +7.46%, 필옵틱스 161580  +4.91% 등이 테마...",0.7250891
2024-06-17,파마리서치," 장중수급포착  파마리서치, 기관 7일 연속 순매수행진 주가 +4.93% 한눈에 보는 오늘   경제 - 뉴스    서울 뉴스핌  로보뉴스   17일 10시 15분 현재 파마리서치 214450 는 전일 대비  4.93%  현재가 138300원  상승...",0.78828615
2024-06-17,이녹스첨단소재,"이녹스첨단소재, 성장세 지속 전망에 주가 8% 급등 종합   서울 연합뉴스  조성흠 기자   이녹스첨단소재 272290 가 1분기에 이어 2분기에도 성장세를 이어갈 것이라는 증권가 전망에 힘입어  22일 ...",0.87295926
2024-06-17,레이크머티리얼즈,레이크머티리얼즈 1분기 영업이익 49억원 작년 대비 41%   서울 연합뉴스  코스닥 상장사 레이크머티리얼즈 281740 는 연결 기준 올해 1분기 영업이익이 49억원으로 지난해 동기보다  40.76% 감소한 것으로 잠정 집계됐다고 8일...,0.75528103
2024-06-17,엔켐,"14일, 기관 코스닥에서 엔켐 +7.61% , 티씨케이 +9.61%  등 순매수 기관 투자자는 14일 코스닥에서 엔켐, 티씨케이, 제이시스메디칼 등을 중점적으로 사들인 것으로 나타났다. 기관 투자자의 순매수 상위  20개 종목은...",0.7906544
2024-06-17,삼양식품,까르보 불닭 만든 힘은  팬심   식품업계 성공 키워드로 - 조선비즈 까르보 불닭 인기에 삼양식품 주가 올 들어 180% 폭등  한정판  까르보 정식 출시는  팬심 이 만들어 오리온도 포카칩 스윗치즈 8년  만 재출시,0.74673563
2025-03-25,두산우," 장중수급포착  두산우, 외국인 17,186주 대량 순매수... 주가 +6.00%   본문 글자 크기 조정 ...  서울 뉴스핌  로보뉴스   17일 10시 15분 현재 두산우 000155 는 외국인이 17,186주 대량으로 순매수 잠정  하면서 전일 대비...",0.8467962
2025-03-25,삼성화재우," 장중수급포착  삼성화재우, 외국인 5일 연속 순매수행진... 주가 +1.78%  서울 뉴스핌  로보뉴스   22일 10시 15분 현재 삼성화재우 000815 는 전일 대비 1.78%  현재가 286,000원  상승했고, 외국인이 최근 5일 연속...",0.8725314
2025-03-25,SK하이닉스,"현대차,   투자  통 큰 결정  삼성 SK하이닉스  반도체  선택은 현대자동차그룹이 미국 관세 부과에 대응해 210억달러 규모 현지 투자라는  통 큰 결정 을 내리며 삼성전자 SK하이닉스 등 우리 반도체 기업 선택에도...",0.71156913
2025-03-25,어보브반도체," 특징주  어보브반도체 상승, SK하이닉스  HBM 이어 AI응용 분야 개발 앞장선다  어보브반도체 102120 의 주가가 상승하며 시장의 주목을 받고 있다.21일 한국거래소에 따르면 어보브반도체의 주가는 오전 9시 30분 기준 전일 대비...",0.7054551
2025-03-25,에코프로,"개인과 공매도 세력 힘겨루기 재연될까,  제2의 에코프로  후보 점치는 증권가  비즈니스포스트  공매도 전면 재개를 앞두고 증권가가 벌써부터  공매도 수혜주  후보군 추리기에 나섰다. 공매도 세력과 개인투자자 간의 공방전...",0.7820689
